scrape,city,category,title,text
summer,Calgary,m4w,"Whitehorn LRT Station June 24, 2015 - m4w","So we met at the Whitehorn LRT Station the night of June 24, 2015. You had asked me for a cigarette and I had given you one. Then we started to talk about our jobs and other things. I had totally forgot to get your name since my train was coming. If you see this message, respond back and let me know where I work at. This most likely isn't going to work but figured I would give it a shot lol."
summer,Calgary,m4w,Starbucks Palliser Birthday Girl - m4w,"Hi there Bday girl....You told me it was your birthday today and then mentioned a weekend party...where is that?If nobody takes you for a bday lunch today...please let me take you for an un-bday lunch tomorrow.Lb"
summer,Calgary,m4m,CTrain SW to DT - m4m,"You and I were standing next to each other on our way to DT. I got on at Southland and you were already on. You are good looking, blonde and wearing grey pants and grey checked dress shirt. Also wearing dark Oakley sunglasses so could not tell if there was eye contact but did see you looking my direction a couple times.Not sure if you are interested in men, but hope you are as would love to hear from you."
summer,Calgary,m4w,Beautiful busty blond - m4w,"I saw u this morning at Tim's thought u were gorgeous, I was getting coffee as were u. You were with ur friend and her son, we shared a moment, a look then u left would have loved to get it number! I was wearing a blue shirt also heard u talking to ur friend about it in line saying ""did u notice that?"" In reference to me checking u out lol. I hope this finds u"
summer,Calgary,m4w,Silver car full of girls headed North on highway - m4w,I looked at you and winked you smiled then we played car tag I turned into airdrie you kept heading towards edmonton hit me up
summer,Calgary,m4w,m4w - m4w,"Your name Candy.We hooked up back in 1999You are red head with freckled face I use to work in pizza place.I would like to reconnectHope to hear from u.R."
summer,Calgary,m4t,Painter david - m4t,"You had a long bord and you told me you were a painter, we should have been friends for sure, you said you were from Columbia"
summer,Calgary,m4w,Asian godess - m4w,"Hi I always see you getting off in the same stop you look a me and I look at you when I'm outside your are very hot girl ,tell me what number of bus you using"
summer,Calgary,m4m,man in kilt today In nw - m4m,We were both at little Ceasars in the nw. Your were in a kilt with a don't peek tshirt on. Would like to chat more. Email me back corporal.
summer,Calgary,m4w,NICOLE still the hottest Mom in town - m4w,"only want  the best for you, I see why you want better for you and your cub, worst thing about a turn around is being in town and thinkin about you,anyhow still have your smile etched in my memory, miss talkin with you,"
summer,Calgary,w4m,**Caution** Ads directing you to NSAtonight or Flirtbuddies - w4m,"Flirt buddies is a scam website. The people that these girls are talking about do not exist. The website is a fraud designed to make you feel girls are interested in one night stands. Without even having to post a picture or fill out your profile you will have ""Girls"" message you and send you gifts to make you want to purchase a membership in order to respond to them. Thankfully my credit card didn't work and I had time to think about the legitimacy of this website. (a) The girls are attractive enough to easily find guys and they are posting pictures of their bear chest for everyone to see?(b) You can only view a limited amount of profiles before you have to upgrade to full membership(c) they are resorting to craigslist, posting ads of missed connections to try to attract new members.Do what you want, but take my advice and don't waste your money. you'll be glad you did."
summer,Calgary,m4w,"STAPLES, 32nd AVE NE - m4w","We made eye contact, you were so beautiful!You work at staples, I was parking my car and you were walking in the store!I was so busy admiring you, that in the first attempt I even parked wrong. Msg me back if you read this, and let me know what car I was driving. Would love to meet you!"
summer,Calgary,m4w,Dolly C / Dorthea - m4w,"Dolly I dont know what happened all those years ago,and why we broke up. I have had this hole in my heart forever. and I'm sorry if you feel that in some way I caused you grief, We were Young , and dumb , But we ruled the world then , I loved you Then , and love you Still Love you now  , I hope the years have being well to you, I am sorry If I caused you pain, and I dont want to cause you any now , Id like to see If you will forgive me and we can talk."
summer,Calgary,m4w,"Cheryl, Tammy , or Your Mom -Of Dover Area - m4w","Looking for Cheryl , you know who you are , You and I met in late 80s , I worked downtown Calgary and delivered Pizza, Was sitting here and wondering how life has treated you, Hope you came back from the states .You and your sister and mom , lived in Dover , I am looking for you or your sister or mom , to chat see how things are , I think of you often, hope all is well Let me know some thing that happened while we dated in Mission Or Tammy you wanted something from me and i said wait till your 18 and we would see hope to hear"
summer,Calgary,m4m,We met at a lineup in Vegas this past weekend - m4m,"You looked so cute in your jays hat. Had the sexiest eyes too. Got to talking, turns out you were from airdrie, and me from Calgary.  Small world I guess running into albertans in Vegas. You were with two of your friends, and I was with mine. So long shot, but if you're into it, send me a message, let me know what we were lining up for. And maybe we can go grab a drink?"
summer,Calgary,m4w,Garden Party 2015 - m4w,You were so much fun to dance with. I wish I had your name and number.  I hope we connect.
summer,Calgary,w4m,My dream handsome devil at NSATonight - w4m,"really, I cannot get hold of this boy on NSATonight.  He is absolutely sensual.  Get this, blonde locks, incisive blue eyes, well-defined chin, sorta lanky.  He has a couple tats, but not anything giant.  Very simple elegance, tight jeans and blank tee shirts.  His login started with an i and concluded with the number 44.  Passions in songwriting, show goin, baking, and eating pussy.  Seems like he erased his web page.  Anybody remember where I will find this one looker?"
summer,Calgary,m4w,danny is looking for you - m4w,"pls respond when you read this ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im waiting........................................................................................................"
summer,Calgary,m4w,Seen you Monday at Bobs bar - m4w,You were sitting in a booth with a dress on slit down the side. I was looking and you were opening your legs a few times and I could see you had black panties on. I had to hide my hardon. It was so sexy and when you seen I was looking you would turn your head and and open your legs more. So exciting. If you read this add by chance then I would love to chat. Its been along time since I got this horny. Love to watch ladies tease. Thanks.Nothing more exciting then a lady teasing.
summer,Calgary,w4m,Glances while boarding the #3 bus on Centre. - w4m,"You were tall & thin.  Your curly hair was tied back, & was secured further with a black & white bandana.  In fact, you were dressed all in shades of washed out black.  You had a confident sway to your walk.As a hint, I was short, perhaps even petite...& I didn't board the bus.  We only lost eye contact once your bus passed.  I don't anticipate this reaching you before I leave the city, or perhaps even reaching you at all...but if you somehow get this, & feel so inclined, write back & describe something distinguishing about me.Regardless of the outcome, you were admired."
summer,Calgary,m4m,Piggyback for Shawn - m4m,"Well you had a few to drink and were walking with your girlfriend...when you came up to me and my friends and said...Hey which one of you strong guys wants to give me a piggyback. I said sure and you jumped on and we all had a good laugh.  Which restaurant /bar were you headed to?...or if you can remember my name? I'd love to connect...think you might be bi discreet like me."
summer,Calgary,w4m,Wal-mart Blue Shirt - w4m,"This is weird but I don't care. You're so handsome, blue shirt grey pants. Would be happy to meet you."
summer,Calgary,m4w,Re: Damn Crush - m4w,"This resonates with me. Can you provide a little more information?Your Posting Description is quite short. We do not charge per word -- please elaborate!"
summer,Calgary,m4m,Red Shirt / Brown Short Friday at the Gym - m4m,"Your working and chewing gum with headset wearing red shirt brown shirt black shoes. I saw you one time scratching yourg bulging crotch. We had eye contact while you were drying out your hands in the washroom. If you think it was you and interested to play or anything hit me up.Your red shirt says ""Keep calm and....""Hope you read this..."
